date,proportion,proportionCILow,proportionCIHigh,variant
"2022-12-03",0.00754060324825986,0.006171050507198867,0.009211286250708852,"BA.5.2.48*"
"2022-12-03",0.0037418679768891315,0.0028152702241868305,0.004971918850798449,"BF.7.14* (Nextclade)"
"2022-12-03",0.0922160047313589,0.08728006677626572,0.09740129542882038,"BA.2.75* (Nextclade)"
"2022-12-03",0.010486329102406624,0.008848570280128677,0.012423416926512316,"XBB.1.5* (Nextclade)"
"2022-12-03",0.00004549383558527819,0.000005286093955623082,0.0003914149662099131,"XBB.1.9.1* (Nextclade)"
"2022-12-03",0,0,0.0003057412076754471,"XBB.1.22.1* (Nextclade)"
"2022-12-03",0,0,0.0003057412076754471,"XBB.1.16* (Nextclade)"
"2022-12-03",0.000011373458896319547,3.941515828583604e-7,0.000328087019215111,"EG.5.1* (Nextclade)"
"2022-12-04",0.005425327350975185,0.00428004240320692,0.0068749600120522805,"BA.5.2.48*"
"2022-12-04",0.0032277263986814396,0.002373955933798356,0.004387196920334479,"BF.7.14* (Nextclade)"
"2022-12-04",0.0967402252540976,0.09167763685579254,0.10205096867751948,"BA.2.75* (Nextclade)"
"2022-12-04",0.011216921527332661,0.009513884665649473,0.013220742113828168,"XBB.1.5* (Nextclade)"
"2022-12-04",0.00004578335317278637,0.000005319734197122769,0.0003939051095548284,"XBB.1.9.1* (Nextclade)"
"2022-12-04",0,0,0.0003076863112284852,"XBB.1.22.1* (Nextclade)"
"2022-12-04",0,0,0.0003076863112284852,"XBB.1.16* (Nextclade)"
"2022-12-04",0.000011445838293196593,3.9665991956254087e-7,0.00033017428443978913,"EG.5.1* (Nextclade)"
"2022-12-05",0.0044572566453644534,0.0034262430934280576,0.0057967147201326424,"BA.5.2.48*"
"2022-12-05",0.0032995276465684915,0.002430692953575353,0.004477527476656049,"BF.7.14* (Nextclade)"
"2022-12-05",0.09792071871816245,0.09280120623102107,0.1032905005387138,"BA.2.75* (Nextclade)"
"2022-12-05",0.012225618227285358,0.010432847968983602,0.014321997686716683,"XBB.1.5* (Nextclade)"
"2022-12-05",0.00004630915995183848,0.0000053808298580412665,0.00039842755321803456,"XBB.1.9.1* (Nextclade)"
"2022-12-05",0,0,0.00031121888774290397,"XBB.1.22.1* (Nextclade)"
"2022-12-05",0,0,0.00031121888774290397,"XBB.1.16* (Nextclade)"
"2022-12-05",0.00001157728998795962,4.012154302079252e-7,0.00033396504614598897,"EG.5.1* (Nextclade)"
"2022-12-06",0.0038137155498202597,0.0028718039359957666,0.005062992393605191,"BA.5.2.48*"
"2022-12-06",0.0028228408148216425,0.002030491809422672,0.003923168852799803,"BF.7.14* (Nextclade)"
"2022-12-06",0.09844225274218822,0.09332217928149285,0.10381107328275309,"BA.2.75* (Nextclade)"
"2022-12-06",0.012973545948935386,0.011127171141150392,0.01512161188107723,"XBB.1.5* (Nextclade)"
"2022-12-06",0.000046087196976679875,0.000005355039062665268,0.00039651846225034456,"XBB.1.9.1* (Nextclade)"
"2022-12-06",0,0,0.0003097276563186619,"XBB.1.22.1* (Nextclade)"
"2022-12-06",0,0,0.0003097276563186619,"XBB.1.16* (Nextclade)"
"2022-12-06",0.000011521799244169969,3.9929237645702294e-7,0.00033236482519079176,"EG.5.1* (Nextclade)"
"2022-12-07",0.0035377223915003366,0.0026390027236471714,0.004741048633221263,"BA.5.2.48*"
"2022-12-07",0.0028986499594873725,0.0020972530507050134,0.004005045547787305,"BF.7.14* (Nextclade)"
"2022-12-07",0.09952411927830464,0.09440215228770049,0.10489179997455209,"BA.2.75* (Nextclade)"
"2022-12-07",0.013854177365423898,0.011950633365319468,0.016055998233906268,"XBB.1.5* (Nextclade)"
"2022-12-07",0.000034236023143551646,0.0000031491851484747355,0.00037207901419375174,"XBB.1.9.1* (Nextclade)"
"2022-12-07",0,0,0.0003067771587149345,"XBB.1.22.1* (Nextclade)"
"2022-12-07",0,0,0.0003067771587149345,"XBB.1.16* (Nextclade)"
"2022-12-07",0.000011412007714517215,3.954875074398404e-7,0.0003291986847499254,"EG.5.1* (Nextclade)"
"2022-12-08",0.004273406873917403,0.0032734935706279656,0.005577042241780369,"BA.5.2.48*"
"2022-12-08",0.0025868356276780016,0.0018372038920107595,0.0036412227573952623,"BF.7.14* (Nextclade)"
"2022-12-08",0.1006472786945027,0.09550235015163805,0.10603688290070648,"BA.2.75* (Nextclade)"
"2022-12-08",0.015384264746102654,0.013373473003650731,0.017691971146103914,"XBB.1.5* (Nextclade)"
"2022-12-08",0.000034187254991339224,0.0000031446992202574894,0.0003715491629390219,"XBB.1.9.1* (Nextclade)"
"2022-12-08",0,0,0.00030634029804436767,"XBB.1.22.1* (Nextclade)"
"2022-12-08",0,0,0.00030634029804436767,"XBB.1.16* (Nextclade)"
"2022-12-08",0.000022791503327559484,0.000001481885872166551,0.0003504274549154756,"EG.5.1* (Nextclade)"
"2022-12-09",0.00416440340394713,0.0031819651824601964,0.005448513452277279,"BA.5.2.48*"
"2022-12-09",0.0026367010682600035,0.0018808766174217748,0.0036951268168339043,"BF.7.14* (Nextclade)"
"2022-12-09",0.10179024081115336,0.09663616515830278,0.10718659165833444,"BA.2.75* (Nextclade)"
"2022-12-09",0.01622759369907659,0.01416612387639397,0.018583395971036813,"XBB.1.5* (Nextclade)"
"2022-12-09",0.000045265254390729674,0.000005259534165986341,0.0003894489303835331,"XBB.1.9.1* (Nextclade)"
"2022-12-09",0,0,0.00030420549564635506,"XBB.1.22.1* (Nextclade)"
"2022-12-09",0,0,0.00030420549564635506,"XBB.1.16* (Nextclade)"
