date,proportion,variant
2022-12-03,0.0075406032482598,BA.5.2.48*
2022-12-03,0.0037418679768891,BF.7.14*
2022-12-03,0.0922160047313589,BA.2.75*
2022-12-03,0.0104863291024066,XBB.1.5*
2022-12-03,4.54938355852e-05,XBB.1.9.1*
2022-12-03,0.0,XBB.1.22.1*
2022-12-03,0.0,XBB.1.16*
2022-12-03,1.13734588963e-05,EG.5.1*
2022-12-04,0.0054253273509751,BA.5.2.48*
2022-12-04,0.0032277263986814,BF.7.14*
2022-12-04,0.0967402252540976,BA.2.75*
2022-12-04,0.0112169215273326,XBB.1.5*
2022-12-04,4.57833531727e-05,XBB.1.9.1*
2022-12-04,0.0,XBB.1.22.1*
2022-12-04,0.0,XBB.1.16*
2022-12-04,1.14458382931e-05,EG.5.1*
2022-12-05,0.0044572566453644,BA.5.2.48*
2022-12-05,0.0032995276465684,BF.7.14*
2022-12-05,0.0979207187181624,BA.2.75*
2022-12-05,0.0122256182272853,XBB.1.5*
2022-12-05,4.63091599518e-05,XBB.1.9.1*
2022-12-05,0.0,XBB.1.22.1*
2022-12-05,0.0,XBB.1.16*
2022-12-05,1.15772899879e-05,EG.5.1*
2022-12-06,0.0038137155498202,BA.5.2.48*
2022-12-06,0.0028228408148216,BF.7.14*
2022-12-06,0.0984422527421882,BA.2.75*
2022-12-06,0.0129735459489353,XBB.1.5*
2022-12-06,4.60871969766e-05,XBB.1.9.1*
2022-12-06,0.0,XBB.1.22.1*
2022-12-06,0.0,XBB.1.16*
2022-12-06,1.15217992441e-05,EG.5.1*
2022-12-07,0.0035377223915003,BA.5.2.48*
2022-12-07,0.0028986499594873,BF.7.14*
2022-12-07,0.0995241192783046,BA.2.75*
2022-12-07,0.0138541773654238,XBB.1.5*
2022-12-07,3.42360231435e-05,XBB.1.9.1*
2022-12-07,0.0,XBB.1.22.1*
2022-12-07,0.0,XBB.1.16*
2022-12-07,1.14120077145e-05,EG.5.1*
2022-12-08,0.0042734068739174,BA.5.2.48*
2022-12-08,0.002586835627678,BF.7.14*
2022-12-08,0.1006472786945027,BA.2.75*
2022-12-08,0.0153842647461026,XBB.1.5*
2022-12-08,3.41872549913e-05,XBB.1.9.1*
2022-12-08,0.0,XBB.1.22.1*
2022-12-08,0.0,XBB.1.16*
2022-12-08,2.27915033275e-05,EG.5.1*
2022-12-09,0.0041644034039471,BA.5.2.48*
2022-12-09,0.00263670106826,BF.7.14*
2022-12-09,0.1017902408111533,BA.2.75*
2022-12-09,0.0162275936990765,XBB.1.5*
2022-12-09,4.52652543907e-05,XBB.1.9.1*
2022-12-09,0.0,XBB.1.22.1*
2022-12-09,0.0,XBB.1.16*
2022-12-09,2.26326271953e-05,EG.5.1*
2022-12-10,0.0046694911393558,BA.5.2.48*
2022-12-10,0.0029497517197394,BF.7.14*
2022-12-10,0.1024668580019133,BA.2.75*
2022-12-10,0.0173340622295111,XBB.1.5*
2022-12-10,5.69450138945e-05,XBB.1.9.1*
2022-12-10,0.0,XBB.1.22.1*
2022-12-10,0.0,XBB.1.16*
2022-12-10,1.13890027789e-05,EG.5.1*
2022-12-11,0.0048938712798042,BA.5.2.48*
2022-12-11,0.0027200819438911,BF.7.14*
2022-12-11,0.1033631138678654,BA.2.75*
2022-12-11,0.0186080919592556,XBB.1.5*
2022-12-11,4.55243839981e-05,XBB.1.9.1*
2022-12-11,0.0,XBB.1.22.1*
2022-12-11,0.0,XBB.1.16*
2022-12-11,1.13810959995e-05,EG.5.1*
2022-12-12,0.0056204063986165,BA.5.2.48*
2022-12-12,0.0024916376544474,BF.7.14*
2022-12-12,0.1044098573281452,BA.2.75*
2022-12-12,0.020046874644458,XBB.1.5*
2022-12-12,5.68867044394e-05,XBB.1.9.1*
2022-12-12,0.0,XBB.1.22.1*
2022-12-12,0.0,XBB.1.16*
2022-12-12,1.13773408878e-05,EG.5.1*
2022-12-13,0.006173825717807,BA.5.2.48*
2022-12-13,0.0026932030857716,BF.7.14*
2022-12-13,0.1053658647920756,BA.2.75*
2022-12-13,0.0211918564842287,XBB.1.5*
2022-12-13,5.70593874104e-05,XBB.1.9.1*
2022-12-13,1.1411877482e-05,XBB.1.22.1*
2022-12-13,0.0,XBB.1.16*
2022-12-13,1.1411877482e-05,EG.5.1*
2022-12-14,0.0065483999771832,BA.5.2.48*
2022-12-14,0.002544064799498,BF.7.14*
2022-12-14,0.1068393132165877,BA.2.75*
2022-12-14,0.0221436312817295,XBB.1.5*
2022-12-14,5.70418116479e-05,XBB.1.9.1*
2022-12-14,1.14083623295e-05,XBB.1.22.1*
2022-12-14,0.0,XBB.1.16*
2022-12-14,1.14083623295e-05,EG.5.1*
2022-12-15,0.0079890567165551,BA.5.2.48*
2022-12-15,0.0035174839644113,BF.7.14*
2022-12-15,0.1106053291031565,BA.2.75*
2022-12-15,0.0248752787548566,XBB.1.5*
2022-12-15,8.04653194473e-05,XBB.1.9.1*
2022-12-15,2.29900912706e-05,XBB.1.22.1*
2022-12-15,0.0,XBB.1.16*
2022-12-15,0.0,EG.5.1*
2022-12-16,0.0094694087764681,BA.5.2.48*
2022-12-16,0.0038509709362892,BF.7.14*
2022-12-16,0.1128720751934264,BA.2.75*
2022-12-16,0.0267695152926854,XBB.1.5*
2022-12-16,8.19355518359e-05,XBB.1.9.1*
