date,proportion,variant
2022-12-30,0,XBB.1.16*
2022-12-30,0.98395967,BA.5.2*
2022-12-30,0.257103575,BF.7.14*
2022-12-30,0,XBB.1.22*
2022-12-30,0,XBB.1.5*
2022-12-31,0,XBB.1.9*
2022-12-31,0,XBB.1.16*
2022-12-31,0.979435677,BA.5.2*
2022-12-31,0.268292683,BF.7.14*
2022-12-31,0,XBB.1.22*
2022-12-31,0,XBB.1.5*
2023-01-01,0,XBB.1.9*
2023-01-01,0,XBB.1.16*
2023-01-01,0.981361075,BA.5.2*
2023-01-01,0.261811877,BF.7.14*
2023-01-01,0,XBB.1.22*
2023-01-01,0,XBB.1.5*
2023-01-02,0,XBB.1.9*
2023-01-02,0,XBB.1.16*
2023-01-02,0.983704974,BA.5.2*
2023-01-02,0.268439108,BF.7.14*
2023-01-02,0,XBB.1.22*
2023-01-02,0,XBB.1.5*
2023-01-03,0,XBB.1.9*
2023-01-03,0,XBB.1.16*
2023-01-03,0.982020548,BA.5.2*
2023-01-03,0.255136986,BF.7.14*
2023-01-03,0,XBB.1.22*
2023-01-03,0,XBB.1.5*
2023-01-04,0,XBB.1.9*
2023-01-04,0,XBB.1.16*
2023-01-04,0.983599836,BA.5.2*
2023-01-04,0.256662567,BF.7.14*
2023-01-04,0,XBB.1.22*
2023-01-04,0,XBB.1.5*
2023-01-05,0,XBB.1.9*
2023-01-05,0,XBB.1.16*
2023-01-05,0.985975847,BA.5.2*
2023-01-05,0.261005064,BF.7.14*
2023-01-05,0,XBB.1.22*
2023-01-05,0,XBB.1.5*
2023-01-06,0,XBB.1.9*
2023-01-06,0,XBB.1.16*
2023-01-06,0.987410072,BA.5.2*
2023-01-06,0.268884892,BF.7.14*
2023-01-06,0,XBB.1.22*
2023-01-06,0,XBB.1.5*
2023-01-07,0,XBB.1.9*
2023-01-07,0,XBB.1.16*
2023-01-07,0.992947814,BA.5.2*
2023-01-07,0.260930889,BF.7.14*
2023-01-07,0,XBB.1.22*
2023-01-07,0,XBB.1.5*
2023-01-08,0,XBB.1.9*
2023-01-08,0,XBB.1.16*
2023-01-08,0.994842702,BA.5.2*
2023-01-08,0.270758123,BF.7.14*
2023-01-08,0,XBB.1.22*
2023-01-08,0,XBB.1.5*
2023-01-09,0,XBB.1.9*
2023-01-09,0,XBB.1.16*
2023-01-09,0.994050838,BA.5.2*
2023-01-09,0.267712277,BF.7.14*
2023-01-09,0,XBB.1.22*
2023-01-09,0,XBB.1.5*
2023-01-10,0,XBB.1.9*
2023-01-10,0,XBB.1.16*
2023-01-10,0.998290598,BA.5.2*
2023-01-10,0.270655271,BF.7.14*
2023-01-10,0,XBB.1.22*
2023-01-10,0,XBB.1.5*
2023-01-11,0,XBB.1.9*
2023-01-11,0,XBB.1.16*
2023-01-11,0.998274871,BA.5.2*
2023-01-11,0.265094882,BF.7.14*
2023-01-11,0,XBB.1.22*
2023-01-11,0,XBB.1.5*
2023-01-12,0,XBB.1.9*
2023-01-12,0,XBB.1.16*
2023-01-12,0.9981774,BA.5.2*
2023-01-12,0.263061968,BF.7.14*
2023-01-12,0,XBB.1.22*
2023-01-12,0,XBB.1.5*
2023-01-13,0,XBB.1.9*
2023-01-13,0,XBB.1.16*
2023-01-13,0.995734308,BA.5.2*
2023-01-13,0.265691651,BF.7.14*
2023-01-13,0,XBB.1.22*
2023-01-13,0,XBB.1.5*
2023-01-14,0,XBB.1.9*
2023-01-14,0,XBB.1.16*
2023-01-14,0.994634474,BA.5.2*
2023-01-14,0.261569416,BF.7.14*
2023-01-14,0,XBB.1.22*
2023-01-14,0,XBB.1.5*
2023-01-15,0,XBB.1.9*
2023-01-15,0,XBB.1.16*
2023-01-15,0.994211288,BA.5.2*
2023-01-15,0.251085384,BF.7.14*
2023-01-15,0,XBB.1.22*
2023-01-15,0,XBB.1.5*
2023-01-16,0,XBB.1.9*
2023-01-16,0,XBB.1.16*
2023-01-16,0.99430605,BA.5.2*
2023-01-16,0.251957295,BF.7.14*
2023-01-16,0,XBB.1.22*
2023-01-16,0,XBB.1.5*
2023-01-17,0,XBB.1.9*
2023-01-17,0,XBB.1.16*
2023-01-17,0.994198695,BA.5.2*
2023-01-17,0.257432922,BF.7.14*
2023-01-17,0,XBB.1.22*
2023-01-17,0,XBB.1.5*
2023-01-18,0,XBB.1.9*
2023-01-18,0,XBB.1.16*
2023-01-18,0.993710692,BA.5.2*
2023-01-18,0.259433962,BF.7.14*
2023-01-18,0,XBB.1.22*
