"Origin","Destination","mean_origin_lat","mean_origin_long","mean_destination_lat","mean_destination_long","mean_date","n"
"1","Hubei","Fujian",30.008333,114.003333,26.01,119.005,2023-08-17,10
"2","Hubei","Henan",30.008333,114.003333,34.011667,113.01,2023-08-07,10
"3","Hubei","Shanghai",30.008333,114.003333,31.003333,121.006667,2023-09-05,8
"4","Henan","Gansu",34.011667,113.01,36,103.011667,2023-10-10,7
"5","Hubei","Sichuan",30.008333,114.003333,30.01,104.001667,2023-08-21,7
"6","Sichuan","Shanghai",30.01,104.001667,31.003333,121.006667,2023-08-27,7
"7","Henan","Shanxi",34.011667,113.01,37.013333,112.008333,2023-09-11,6
"8","Hubei","Yunnan",30.008333,114.003333,25,102.011667,2023-08-11,6
"9","Henan","Fujian",34.011667,113.01,26.01,119.005,2023-09-21,5
"10","Henan","Guizhou",34.011667,113.01,26.01,106.011667,2023-08-20,5
"11","Henan","Shanghai",34.011667,113.01,31.003333,121.006667,2023-08-24,5
"12","Hubei","Anhui",30.008333,114.003333,31.013333,117.01,2023-07-31,5
"13","Hubei","Hong Kong",30.008333,114.003333,22.25,114.25,2023-08-09,5
"14","Henan","Hubei",34.011667,113.01,30.008333,114.003333,2023-08-27,4
"15","Hubei","Gansu",30.008333,114.003333,36,103.011667,2023-08-12,4
"16","Hubei","Guizhou",30.008333,114.003333,26.01,106.011667,2023-07-25,4
"17","Hubei","Taiwan",30.008333,114.003333,25.030724,121.520076,2023-07-27,4
"18","Shanghai","Fujian",31.003333,121.006667,26.01,119.005,2023-08-26,4
"19","Yunnan","Shanghai",25,102.011667,31.003333,121.006667,2023-09-07,4
"20","Anhui","Henan",31.013333,117.01,34.011667,113.01,2023-07-27,3
