Accession_ID,Lineage,province,merged_lineage,date
EPI_ISL_18074780,FR.1.1,Shanghai,BA.2.75*,2023-07-19
EPI_ISL_18161050,FU.2.1,Xinjiang,XBB.1.16*,2023-07-30
EPI_ISL_18409184,FU.1,Anhui,XBB.1.16*,2023-08-01
EPI_ISL_18208672,EG.5.1.1,Henan,XBB.1.9*,2023-08-01
EPI_ISL_18105554,FY.3,Hubei,XBB.1.22*,2023-08-01
EPI_ISL_18166166,FL.2,Sichuan,XBB.1.9*,2023-08-02
EPI_ISL_18161018,XBB.1.9.1,Xinjiang,XBB.1.9*,2023-08-02
EPI_ISL_18160997,EG.5.1.1,Xinjiang,XBB.1.9*,2023-08-02
EPI_ISL_18133968,FU.1,Sichuan,XBB.1.16*,2023-08-02
EPI_ISL_18289917,FL.4,Henan,XBB.1.9*,2023-08-03
EPI_ISL_18138186,FE.1.1,Shanghai,Others,2023-08-03
EPI_ISL_18111154,XBB.1.16,Yunnan,XBB.1.16*,2023-08-03
EPI_ISL_18097204,XBB.1.42,Hong Kong,Others,2023-08-03
EPI_ISL_18111156,EG.5.1.1,Yunnan,XBB.1.9*,2023-08-04
EPI_ISL_18289912,FU.1,Henan,XBB.1.16*,2023-08-05
EPI_ISL_18134238,FL.4,Taiwan,XBB.1.9*,2023-08-05
EPI_ISL_18139351,EG.5.1.1,Taiwan,XBB.1.9*,2023-08-06
EPI_ISL_18139350,XBB.2.3.2,Taiwan,XBB.2.3*,2023-08-06
EPI_ISL_18289911,FY.3.1,Henan,XBB.1.22*,2023-08-07
EPI_ISL_18138215,FL.15,Shanghai,XBB.1.9*,2023-08-07
EPI_ISL_18127170,FL.2.3,Fujian,XBB.1.9*,2023-08-07
EPI_ISL_18114714,GF.1,Shanghai,XBB.1.5*,2023-08-07
EPI_ISL_18166264,FL.15,Yunnan,XBB.1.9*,2023-08-08
EPI_ISL_18141835,EG.5.1.1,Hong Kong,XBB.1.9*,2023-08-08
EPI_ISL_18134236,EG.1,Taiwan,XBB.1.9*,2023-08-08
EPI_ISL_18108320,FU.1,Fujian,XBB.1.16*,2023-08-08
EPI_ISL_18241542,FY.3,Yunnan,XBB.1.22*,2023-08-15
EPI_ISL_18217858,HF.1,Taiwan,XBB.1.16*,2023-08-18
EPI_ISL_18166236,FY.3.1,Yunnan,XBB.1.22*,2023-08-18
EPI_ISL_18409197,FY.3.1,Anhui,XBB.1.22*,2023-08-19
EPI_ISL_18245830,FY.3.1,Fujian,XBB.1.22*,2023-09-02
EPI_ISL_18268365,HK.3,Shanghai,XBB.1.9*,2023-09-04
EPI_ISL_18268159,FY.3,Hubei,XBB.1.22*,2023-09-04
EPI_ISL_18300562,HK.3,Guizhou,XBB.1.9*,2023-09-06
EPI_ISL_18268243,EG.5.1.1,Qinghai,XBB.1.9*,2023-09-10
EPI_ISL_18285070,HK.3,Sichuan,XBB.1.9*,2023-09-11
EPI_ISL_18284903,FL.15,Shanghai,XBB.1.9*,2023-09-11
EPI_ISL_18289908,EG.5.1.1,Gansu,XBB.1.9*,2023-09-13
EPI_ISL_18435225,HK.3,Anhui,XBB.1.9*,2023-09-17
EPI_ISL_18409327,HK.3,Sichuan,XBB.1.9*,2023-10-01
EPI_ISL_18454315,EG.5.1.1,Shanxi,XBB.1.9*,2023-10-03
EPI_ISL_18376428,HK.3,Fujian,XBB.1.9*,2023-10-03
EPI_ISL_18409290,HK.3,Sichuan,XBB.1.9*,2023-10-05
EPI_ISL_18523044,HK.3.1,Henan,XBB.1.9*,2023-10-06
