XBB.1.9*,BA.5.2*,XBB.1.16*,BF.7.14*,XBB.1.22*,XBB.1.5*,date,country
1,284,0,0,0,56,2022-12-03,USA
186,0,151,0,13,91,2023-08-05,USA
101,0,96,0,11,302,2023-05-30,USA
113,0,102,0,8,135,2023-07-03,USA
4,183,0,1,0,428,2022-12-28,USA
45,0,34,0,4,363,2023-04-22,USA
477,0,178,0,11,83,2023-09-28,USA
264,0,114,0,3,38,2023-09-30,USA
294,0,255,0,26,181,2023-08-01,USA
362,0,229,0,26,76,2023-09-04,USA
7,16,0,0,0,888,2023-01-28,USA
110,0,53,0,0,8,2023-10-24,USA
366,1,301,0,23,199,2023-08-09,USA
28,0,13,0,2,789,2023-03-12,USA
46,0,19,0,1,606,2023-04-02,USA
47,0,26,0,2,702,2023-03-26,USA
100,2,102,0,9,213,2023-06-06,USA
222,0,175,0,16,117,2023-08-13,USA
19,3,3,0,0,961,2023-02-25,USA
71,2,57,0,4,623,2023-04-20,USA
43,0,47,0,4,90,2023-06-11,USA
669,0,409,0,23,141,2023-09-06,USA
46,0,61,0,9,64,2023-07-02,USA
225,0,216,0,23,157,2023-07-27,USA
50,0,53,0,2,350,2023-04-29,USA
368,0,153,0,7,57,2023-09-29,USA
179,0,163,0,18,168,2023-07-17,USA
6,59,0,0,0,806,2023-01-13,USA
653,0,282,0,13,112,2023-09-13,USA
609,0,250,0,18,86,2023-09-25,USA
13,13,0,0,0,1995,2023-02-16,USA
89,2,28,0,4,1628,2023-03-29,USA
5,155,0,3,0,398,2022-12-29,USA
3,192,0,4,0,282,2022-12-20,USA
172,0,165,0,11,132,2023-07-19,USA
264,0,105,0,7,57,2023-09-23,USA
541,0,206,0,11,90,2023-09-27,USA
106,0,106,0,8,126,2023-07-07,USA
225,0,65,0,2,18,2023-10-17,USA
97,0,78,0,4,833,2023-04-24,USA
2,366,0,0,0,281,2022-12-12,USA
0,42,0,1,0,114,2022-12-25,USA
7,40,0,0,0,703,2023-01-19,USA
3,30,0,0,0,692,2023-01-15,USA
46,0,37,0,7,114,2023-05-27,USA
269,0,223,0,19,176,2023-07-24,USA
16,4,0,0,0,1799,2023-02-22,USA
68,0,51,0,6,143,2023-05-20,USA
64,1,74,0,5,152,2023-06-15,USA
361,0,144,0,5,67,2023-09-09,USA
151,0,148,0,14,76,2023-07-30,USA
163,0,143,0,15,183,2023-07-10,USA
108,0,109,0,15,153,2023-06-20,USA
44,0,46,0,4,76,2023-06-18,USA
50,1,38,0,0,906,2023-03-30,USA
398,0,168,0,12,50,2023-10-05,USA
7,292,0,1,0,218,2022-12-13,USA
15,8,1,0,1,1844,2023-02-15,USA
2,157,0,8,0,412,2022-12-30,USA
56,0,49,0,2,135,2023-05-28,USA
85,0,68,0,5,70,2023-07-08,USA
47,0,49,0,4,87,2023-06-24,USA
72,3,32,0,2,1119,2023-04-03,USA
105,0,23,0,1,13,2023-10-21,USA
83,1,47,0,2,1247,2023-04-06,USA
161,0,146,0,15,93,2023-08-06,USA
9,5,0,0,0,1031,2023-02-19,USA
633,0,479,0,23,231,2023-08-21,USA
2,39,0,0,0,625,2023-01-14,USA
38,0,13,0,0,1,2023-10-28,USA
1,446,0,0,0,150,2022-12-06,USA
0,219,0,0,0,118,2022-12-10,USA
1,32,0,2,0,189,2023-01-01,USA
330,0,143,0,11,67,2023-09-17,USA
26,2,15,1,2,698,2023-03-19,USA
70,1,55,0,1,188,2023-05-14,USA
33,2,11,0,0,698,2023-03-18,USA
98,0,54,0,4,932,2023-04-17,USA
100,0,54,0,6,1426,2023-04-12,USA
73,1,57,0,4,878,2023-04-13,USA
112,0,72,0,4,611,2023-05-02,USA
142,0,168,0,16,148,2023-07-11,USA
677,0,421,0,22,202,2023-08-29,USA
408,0,314,0,24,178,2023-08-08,USA
341,1,257,0,27,160,2023-08-03,USA
1,72,0,4,0,147,2022-12-24,USA
5,44,1,0,0,1682,2023-01-23,USA
421,0,237,0,22,108,2023-09-01,USA
58,0,57,0,1,59,2023-06-25,USA
15,10,0,0,0,1736,2023-02-14,USA
76,0,97,0,10,98,2023-06-30,USA
604,0,352,0,24,123,2023-09-07,USA
134,0,86,0,2,8,2023-10-09,United Kingdom
27,0,15,0,0,18,2023-06-07,United Kingdom
12,0,14,0,0,12,2023-06-26,United Kingdom
21,0,13,0,3,4,2023-07-12,United Kingdom
94,0,73,0,3,13,2023-09-05,United Kingdom
74,0,35,0,4,8,2023-09-02,United Kingdom
56,0,57,0,3,8,2023-08-17,United Kingdom
90,2,0,0,0,453,2023-02-27,United Kingdom
1,42,0,0,0,26,2022-12-22,United Kingdom
50,0,0,0,0,201,2023-03-11,United Kingdom
42,0,38,0,2,8,2023-08-28,United Kingdom
52,0,43,0,3,13,2023-08-18,United Kingdom
1,50,0,0,0,0,2022-12-08,United Kingdom
71,0,45,0,1,9,2023-08-16,United Kingdom
54,0,4,0,0,128,2023-04-01,United Kingdom
10,2,0,0,0,54,2023-01-17,United Kingdom
22,0,38,0,1,7,2023-07-20,United Kingdom
96,4,6,0,1,391,2023-03-02,United Kingdom
52,0,29,0,0,9,2023-08-19,United Kingdom
38,0,20,0,1,55,2023-05-08,United Kingdom
44,0,19,0,3,51,2023-05-15,United Kingdom
136,1,2,0,1,369,2023-03-24,United Kingdom
61,1,57,0,1,9,2023-09-10,United Kingdom
28,0,37,0,2,13,2023-08-04,United Kingdom
19,0,16,0,1,8,2023-07-23,United Kingdom
114,0,89,0,6,11,2023-10-10,United Kingdom
51,0,81,0,2,13,2023-08-07,United Kingdom
35,0,8,0,0,51,2023-05-12,United Kingdom
16,0,27,0,1,29,2023-05-21,United Kingdom
93,0,61,0,5,6,2023-10-12,United Kingdom
17,1,1,0,0,148,2023-02-12,United Kingdom
66,0,55,0,0,5,2023-10-16,United Kingdom
0,27,0,0,0,9,2022-12-15,United Kingdom
1,25,0,0,0,8,2022-12-18,United Kingdom
0,44,0,0,0,1,2022-12-01,United Kingdom
56,0,53,0,8,5,2023-08-25,United Kingdom
1,64,0,0,0,22,2022-12-19,United Kingdom
0,23,0,0,0,69,2022-12-27,United Kingdom
4,4,0,0,0,49,2023-01-16,United Kingdom
37,0,22,0,0,44,2023-05-07,United Kingdom
90,0,46,0,1,8,2023-10-18,United Kingdom
0,66,0,0,0,4,2022-12-05,United Kingdom
26,0,20,0,0,38,2023-05-26,United Kingdom
0,35,0,0,0,3,2022-12-07,United Kingdom
138,2,2,0,0,411,2023-02-28,United Kingdom
99,0,66,0,3,6,2023-10-08,United Kingdom
56,4,1,0,2,300,2023-02-17,United Kingdom
14,0,24,0,1,8,2023-07-21,United Kingdom
31,1,23,0,1,16,2023-06-02,United Kingdom
4,3,0,0,0,24,2023-01-08,United Kingdom
60,0,7,0,2,95,2023-04-21,United Kingdom
130,0,83,0,4,5,2023-10-02,United Kingdom
39,1,1,0,0,164,2023-02-26,United Kingdom
43,0,20,0,1,50,2023-05-05,United Kingdom
0,31,0,0,0,1,2022-12-04,United Kingdom
0,54,0,0,0,3,2022-12-09,United Kingdom
82,0,3,0,1,215,2023-03-31,United Kingdom
79,0,61,0,4,10,2023-08-30,United Kingdom
35,0,0,0,0,169,2023-02-11,United Kingdom
0,32,0,0,0,3,2022-12-11,United Kingdom
11,0,27,0,1,5,2023-07-14,United Kingdom
3,4,0,0,0,31,2023-01-12,United Kingdom
48,0,2,0,1,102,2023-04-08,United Kingdom
87,0,63,0,2,8,2023-09-03,United Kingdom
15,0,6,0,0,12,2023-06-10,United Kingdom
43,2,0,0,0,226,2023-02-01,United Kingdom
13,0,14,0,0,8,2023-06-16,United Kingdom
82,1,46,0,3,5,2023-10-19,United Kingdom
52,0,45,0,7,9,2023-08-14,United Kingdom
151,0,3,0,0,452,2023-03-07,United Kingdom
49,0,12,0,0,71,2023-05-01,United Kingdom
11,0,18,0,1,11,2023-07-05,United Kingdom
85,0,48,0,4,7,2023-09-15,United Kingdom
147,0,100,0,7,13,2023-10-03,United Kingdom
18,0,20,0,0,27,2023-06-01,United Kingdom
66,0,14,0,0,102,2023-04-19,United Kingdom
37,0,15,0,0,67,2023-05-10,United Kingdom
32,0,24,0,2,9,2023-07-26,United Kingdom
82,0,1,0,1,375,2023-03-09,United Kingdom
52,0,16,0,3,81,2023-04-28,United Kingdom
1,11,0,0,0,26,2023-01-07,United Kingdom
6,4,0,0,0,84,2023-01-29,United Kingdom
28,0,35,0,1,5,2023-07-28,United Kingdom
1,5,0,0,0,55,2023-01-10,United Kingdom
2,35,0,0,0,31,2022-12-21,United Kingdom
25,6,0,0,0,161,2023-02-02,United Kingdom
51,0,6,0,1,122,2023-04-07,United Kingdom
88,0,14,0,1,103,2023-04-26,United Kingdom
81,0,83,0,12,12,2023-09-11,United Kingdom
86,0,70,0,5,5,2023-09-12,United Kingdom
16,0,24,0,2,4,2023-06-22,United Kingdom
4,21,0,1,0,72,2023-01-03,United Kingdom
94,0,66,0,2,7,2023-10-11,United Kingdom
0,33,0,0,0,8,2022-12-17,United Kingdom
25,0,24,0,4,12,2023-06-12,United Kingdom
0,21,0,0,0,14,2022-12-23,United Kingdom
102,1,10,0,1,185,2023-04-11,United Kingdom
43,0,31,0,2,4,2023-08-20,United Kingdom
56,0,31,0,0,7,2023-10-15,United Kingdom
20,1,31,0,3,48,2023-05-18,United Kingdom
37,0,27,0,2,4,2023-08-26,United Kingdom
99,1,0,0,5,431,2023-03-08,United Kingdom
47,1,45,0,4,11,2023-08-15,United Kingdom
38,0,12,0,0,2,2023-10-29,United Kingdom
139,0,79,0,12,17,2023-10-06,United Kingdom
6,0,15,0,0,9,2023-07-15,United Kingdom
126,0,10,0,1,344,2023-03-17,United Kingdom
38,0,53,0,0,10,2023-08-12,United Kingdom
89,0,51,0,3,6,2023-10-20,United Kingdom
22,0,15,0,2,50,2023-05-13,United Kingdom
67,0,6,0,0,115,2023-04-14,United Kingdom
120,0,1,0,1,466,2023-03-14,United Kingdom
85,0,53,0,9,7,2023-10-23,United Kingdom
67,0,64,0,7,8,2023-08-31,United Kingdom
59,0,63,0,4,15,2023-08-11,United Kingdom
13,2,0,0,0,133,2023-02-05,United Kingdom
51,0,22,0,5,4,2023-10-22,United Kingdom
35,0,23,0,2,3,2023-10-30,United Kingdom
35,0,13,0,0,47,2023-05-06,United Kingdom
15,0,20,0,1,13,2023-07-06,United Kingdom
8,0,12,0,3,13,2023-06-14,United Kingdom
84,0,1,0,0,364,2023-03-15,United Kingdom
53,0,6,0,0,107,2023-04-09,United Kingdom
91,1,1,0,0,319,2023-03-03,United Kingdom
119,0,6,0,0,290,2023-03-28,United Kingdom
5,4,0,0,0,40,2023-01-22,United Kingdom
13,0,13,0,0,4,2023-07-09,United Kingdom
15,0,27,0,1,10,2023-07-18,United Kingdom
94,1,0,0,0,438,2023-02-20,United Kingdom
69,0,4,0,1,169,2023-04-05,United Kingdom
89,0,74,0,4,6,2023-09-21,United Kingdom
8,0,9,0,1,6,2023-06-29,United Kingdom
1,2,0,0,0,30,2023-01-11,United Kingdom
89,0,47,0,5,2,2023-10-01,United Kingdom
49,0,42,0,0,9,2023-08-02,United Kingdom
125,0,2,0,0,523,2023-03-13,United Kingdom
14,2,0,0,0,110,2023-02-04,United Kingdom
6,18,0,0,0,46,2023-01-05,United Kingdom
47,0,32,0,3,10,2023-08-27,United Kingdom
66,1,35,0,3,3,2023-10-26,United Kingdom
63,0,3,0,0,170,2023-04-10,United Kingdom
59,0,11,0,1,91,2023-04-23,United Kingdom
51,0,18,0,2,50,2023-05-16,United Kingdom
19,0,8,0,0,9,2023-06-19,United Kingdom
3,16,0,0,0,82,2023-01-06,United Kingdom
90,0,7,0,0,153,2023-04-04,United Kingdom
109,0,72,0,0,13,2023-09-08,United Kingdom
108,0,6,0,1,344,2023-03-27,United Kingdom
151,0,85,0,3,16,2023-09-26,United Kingdom
67,0,46,0,1,6,2023-08-24,United Kingdom
70,0,53,0,0,9,2023-08-23,United Kingdom
55,0,38,0,1,13,2023-07-31,United Kingdom
31,0,24,0,1,43,2023-05-31,United Kingdom
145,0,2,0,0,488,2023-03-21,United Kingdom
98,0,61,0,5,8,2023-09-22,United Kingdom
3,0,6,0,0,4,2023-07-01,United Kingdom
97,0,0,0,2,369,2023-03-23,United Kingdom
0,12,0,0,0,28,2022-12-31,United Kingdom
54,0,9,0,0,84,2023-04-16,United Kingdom
0,50,0,0,0,23,2022-12-16,United Kingdom
101,1,3,0,4,437,2023-03-01,United Kingdom
69,0,62,0,6,7,2023-09-24,United Kingdom
35,0,27,0,3,5,2023-07-25,United Kingdom
48,0,33,0,5,40,2023-05-22,United Kingdom
0,27,0,0,0,8,2022-12-14,United Kingdom
94,0,57,0,2,9,2023-10-13,United Kingdom
48,0,12,0,0,115,2023-04-18,United Kingdom
31,0,25,0,0,53,2023-05-09,United Kingdom
9,0,23,0,0,7,2023-07-13,United Kingdom
41,0,14,0,0,46,2023-05-11,United Kingdom
75,0,57,0,2,16,2023-09-14,United Kingdom
107,1,1,0,0,481,2023-03-06,United Kingdom
21,10,0,0,0,169,2023-01-31,United Kingdom
18,2,0,0,0,173,2023-02-03,United Kingdom
25,0,19,0,4,31,2023-05-23,United Kingdom
101,0,61,0,5,4,2023-09-18,United Kingdom
10,2,1,0,0,91,2023-01-26,United Kingdom
99,0,75,0,7,3,2023-09-20,United Kingdom
41,0,22,0,2,54,2023-05-17,United Kingdom
23,0,14,0,1,12,2023-06-13,United Kingdom
36,0,0,0,0,166,2023-02-18,United Kingdom
37,4,0,0,0,246,2023-02-09,United Kingdom
46,0,0,0,0,274,2023-02-10,United Kingdom
56,0,21,0,1,71,2023-05-04,United Kingdom
1,23,0,0,0,60,2023-01-02,United Kingdom
4,12,0,0,0,61,2023-01-09,United Kingdom
22,0,30,0,0,7,2023-07-29,United Kingdom
8,0,5,0,0,5,2023-06-17,United Kingdom
19,1,0,0,0,131,2023-01-30,United Kingdom
34,0,25,0,0,30,2023-06-05,United Kingdom
50,0,1,0,4,233,2023-03-04,United Kingdom
104,0,3,0,6,344,2023-03-10,United Kingdom
42,2,0,0,0,263,2023-02-06,United Kingdom
15,0,31,0,0,2,2023-07-22,United Kingdom
11,0,9,0,0,4,2023-06-23,United Kingdom
21,2,0,0,0,47,2023-01-21,United Kingdom
65,2,0,0,0,330,2023-02-24,United Kingdom
30,0,11,0,3,29,2023-05-24,United Kingdom
1,4,0,0,0,45,2023-01-18,United Kingdom
28,3,0,0,3,229,2023-02-07,United Kingdom
130,1,69,0,2,11,2023-10-04,United Kingdom
45,0,7,0,0,68,2023-04-30,United Kingdom
141,0,0,0,5,355,2023-03-16,United Kingdom
9,0,11,0,2,12,2023-06-28,United Kingdom
52,0,8,0,0,85,2023-04-15,United Kingdom
6,2,0,0,0,104,2023-01-27,United Kingdom
25,0,17,0,2,17,2023-06-08,United Kingdom
46,0,60,0,2,12,2023-08-10,United Kingdom
8,0,10,0,1,6,2023-07-04,United Kingdom
11,0,16,0,1,4,2023-07-16,United Kingdom
57,0,15,0,0,74,2023-05-03,United Kingdom
63,0,35,0,0,3,2023-10-25,United Kingdom
87,0,53,0,5,10,2023-10-07,United Kingdom
22,0,16,0,0,14,2023-06-09,United Kingdom
27,0,18,0,2,32,2023-05-25,United Kingdom
49,1,2,0,4,376,2023-02-23,United Kingdom
87,0,49,0,4,2,2023-08-22,United Kingdom
70,0,0,0,0,221,2023-02-08,United Kingdom
0,49,0,0,0,1,2022-12-02,United Kingdom
110,0,2,0,0,352,2023-03-22,United Kingdom
0,10,0,0,0,32,2022-12-26,United Kingdom
9,0,10,0,0,7,2023-06-21,United Kingdom
13,0,10,0,1,2,2023-06-27,United Kingdom
24,0,16,0,2,22,2023-05-29,United Kingdom
10,5,0,0,0,96,2023-01-24,United Kingdom
22,0,23,0,0,19,2023-06-04,United Kingdom
55,0,0,0,0,470,2023-02-21,United Kingdom
112,0,65,0,0,12,2023-09-19,United Kingdom
13,2,0,0,0,99,2023-01-25,United Kingdom
60,0,3,0,1,203,2023-03-25,United Kingdom
6,8,0,0,0,52,2023-01-20,United Kingdom
50,4,0,0,0,372,2023-02-13,United Kingdom
62,2,2,0,1,209,2023-03-05,United Kingdom
64,0,38,0,1,8,2023-10-14,United Kingdom
75,0,15,0,1,119,2023-04-25,United Kingdom
62,0,44,0,1,5,2023-09-16,United Kingdom
55,0,13,0,2,106,2023-04-27,United Kingdom
30,0,32,0,0,25,2023-05-19,United Kingdom
9,19,0,0,0,86,2023-01-04,United Kingdom
129,1,2,0,1,410,2023-03-20,United Kingdom
49,0,29,0,3,2,2023-10-27,United Kingdom
14,0,16,0,1,18,2023-06-03,United Kingdom
0,25,0,0,0,0,2022-12-03,United Kingdom
26,0,42,0,1,12,2023-08-05,United Kingdom
38,0,16,0,3,28,2023-05-30,United Kingdom
10,0,9,0,2,8,2023-07-03,United Kingdom
1,59,0,0,0,32,2022-12-28,United Kingdom
42,0,6,0,0,77,2023-04-22,United Kingdom
134,0,53,0,7,6,2023-09-28,United Kingdom
92,0,66,0,8,5,2023-09-30,United Kingdom
50,0,55,0,4,16,2023-08-01,United Kingdom
110,0,77,0,2,17,2023-09-04,United Kingdom
13,1,0,0,0,67,2023-01-28,United Kingdom
93,0,50,0,3,5,2023-10-24,United Kingdom
60,0,59,0,3,17,2023-08-09,United Kingdom
71,1,1,0,0,244,2023-03-12,United Kingdom
52,0,3,0,0,138,2023-04-02,United Kingdom
74,0,3,0,0,173,2023-03-26,United Kingdom
31,0,29,0,2,33,2023-06-06,United Kingdom
39,0,43,0,0,10,2023-08-13,United Kingdom
25,2,0,0,0,190,2023-02-25,United Kingdom
70,0,10,0,4,114,2023-04-20,United Kingdom
16,0,9,0,1,16,2023-06-11,United Kingdom
92,0,97,0,0,5,2023-09-06,United Kingdom
5,0,8,0,1,6,2023-07-02,United Kingdom
33,0,34,0,3,8,2023-07-27,United Kingdom
44,0,20,0,0,65,2023-04-29,United Kingdom
136,1,64,0,5,9,2023-09-29,United Kingdom
16,0,30,0,2,9,2023-07-17,United Kingdom
3,7,0,0,0,70,2023-01-13,United Kingdom
78,0,72,0,2,9,2023-09-13,United Kingdom
110,0,75,0,7,14,2023-09-25,United Kingdom
45,3,0,0,0,315,2023-02-16,United Kingdom
82,0,4,0,0,276,2023-03-29,United Kingdom
1,39,0,0,0,71,2022-12-29,United Kingdom
3,83,0,0,0,43,2022-12-20,United Kingdom
21,1,23,0,0,6,2023-07-19,United Kingdom
73,0,52,0,2,5,2023-09-23,United Kingdom
112,0,77,0,8,14,2023-09-27,United Kingdom
23,0,18,0,1,5,2023-07-07,United Kingdom
84,0,53,0,2,4,2023-10-17,United Kingdom
64,0,18,0,0,126,2023-04-24,United Kingdom
3,69,0,0,0,7,2022-12-12,United Kingdom
1,5,0,0,0,9,2022-12-25,United Kingdom
5,4,0,0,0,52,2023-01-19,United Kingdom
6,6,0,0,0,27,2023-01-15,United Kingdom
12,0,11,0,1,20,2023-05-27,United Kingdom
15,0,39,0,1,9,2023-07-24,United Kingdom
50,0,1,0,0,348,2023-02-22,United Kingdom
22,0,19,0,2,33,2023-05-20,United Kingdom
16,1,13,0,1,12,2023-06-15,United Kingdom
87,0,55,0,3,4,2023-09-09,United Kingdom
34,0,33,0,0,8,2023-07-30,United Kingdom
19,0,12,0,0,5,2023-07-10,United Kingdom
21,0,11,0,3,8,2023-06-20,United Kingdom
13,0,11,0,0,3,2023-06-18,United Kingdom
108,0,7,0,0,275,2023-03-30,United Kingdom
133,0,73,0,9,8,2023-10-05,United Kingdom
11,53,0,0,0,11,2022-12-13,United Kingdom
55,1,0,0,0,302,2023-02-15,United Kingdom
2,26,0,0,0,84,2022-12-30,United Kingdom
22,0,23,0,0,21,2023-05-28,United Kingdom
13,0,19,0,0,4,2023-07-08,United Kingdom
12,0,10,0,1,8,2023-06-24,United Kingdom
60,0,8,0,1,203,2023-04-03,United Kingdom
49,0,39,0,0,5,2023-10-21,United Kingdom
61,0,9,0,1,172,2023-04-06,United Kingdom
36,0,44,0,4,10,2023-08-06,United Kingdom
31,1,2,0,0,220,2023-02-19,United Kingdom
74,0,49,0,3,6,2023-08-21,United Kingdom
1,5,0,0,0,28,2023-01-14,United Kingdom
38,0,9,0,1,3,2023-10-28,United Kingdom
0,64,0,0,0,4,2022-12-06,United Kingdom
0,38,0,0,0,3,2022-12-10,United Kingdom
2,14,1,0,0,16,2023-01-01,United Kingdom
76,0,43,0,4,10,2023-09-17,United Kingdom
59,0,1,0,1,207,2023-03-19,United Kingdom
28,0,18,0,0,39,2023-05-14,United Kingdom
85,0,1,0,0,210,2023-03-18,United Kingdom
85,0,16,0,0,157,2023-04-17,United Kingdom
93,0,4,0,1,198,2023-04-12,United Kingdom
63,0,12,0,1,136,2023-04-13,United Kingdom
70,0,15,0,1,95,2023-05-02,United Kingdom
19,0,20,0,1,8,2023-07-11,United Kingdom
82,0,42,0,1,12,2023-08-29,United Kingdom
51,0,70,0,3,16,2023-08-08,United Kingdom
52,0,42,0,1,10,2023-08-03,United Kingdom
1,17,0,0,0,13,2022-12-24,United Kingdom
1,3,0,0,0,73,2023-01-23,United Kingdom
69,0,67,0,0,11,2023-09-01,United Kingdom
6,0,6,0,0,4,2023-06-25,United Kingdom
50,1,0,0,1,362,2023-02-14,United Kingdom
8,0,13,0,0,13,2023-06-30,United Kingdom
84,0,81,0,5,7,2023-09-07,United Kingdom
