,BA.5.2.48*,BF.7.14*,BA.2.75*,XBB.1.5*,XBB.1.9.1*,XBB.1.22.1*,XBB.1.16*,EG.5.1*
USA,13,15,52,61,114,59,65,36
UK,35,0,56,40,74,78,67,37
Japan,12,25,70,73,93,52,76,44
China,59,67,43,30,32,60,38,60
