,EventTime,Origin,Destination
388,2022.923277,Shanghai,Anhui
389,2022.923277,Shanghai,Anhui
390,2022.923277,Shanghai,Anhui
421,2022.923277,Anhui,Shanghai
422,2022.923277,Anhui,Shanghai
507,2022.923277,Qinghai,Inner Mongolia
548,2022.923277,Anhui,Shanghai
686,2022.924377,Jiangsu,Inner Mongolia
267,2022.925347,Liaoning,Xinjiang
9,2022.925377,Beijing,Fujian
863,2022.925757,Jiangsu,Jiangxi
731,2022.925767,Shanghai,Jilin
382,2022.926017,Anhui,Shanghai
528,2022.926017,Hebei,Inner Mongolia
846,2022.926017,Zhejiang,Shanghai
953,2022.926017,Hong Kong,Yunnan
424,2022.927167,Shanghai,Hubei
263,2022.927467,Liaoning,Guangxi
450,2022.928237,Zhejiang,Anhui
512,2022.928747,Henan,Hubei
733,2022.928747,Shanghai,Inner Mongolia
541,2022.928757,Shandong,Fujian
546,2022.928757,Anhui,Inner Mongolia
973,2022.928757,Taiwan,Guangxi
954,2022.928767,Hong Kong,Yunnan
256,2022.928917,Liaoning,Guangxi
405,2022.931487,Hubei,Zhejiang
238,2022.933547,Tianjin,Hunan
284,2022.933557,Shanghai,Hainan
187,2022.934237,Sichuan,Xinjiang
379,2022.934237,Anhui,Zhejiang
547,2022.934237,Anhui,Fujian
868,2022.935147,Jiangsu,Fujian
1305,2022.935447,Zhejiang,Shanghai
952,2022.935937,Hong Kong,Shanghai
104,2022.936207,Sichuan,Shandong
535,2022.936767,Hebei,Guangdong
351,2022.936967,Shanghai,Beijing
659,2022.936967,Jilin,Ningxia
118,2022.936977,Sichuan,Shanghai
395,2022.936977,Anhui,Zhejiang
150,2022.937567,Ningxia,Tianjin
1553,2022.938967,Shanghai,Anhui
160,2022.939707,Hainan,Guizhou
347,2022.939937,Shanghai,Hebei
213,2022.940107,Tianjin,Guangdong
259,2022.940167,Liaoning,Ningxia
767,2022.940807,Jiangsu,Zhejiang
504,2022.941337,Henan,Gansu
89,2022.942457,Sichuan,Jilin
1211,2022.942707,Jiangsu,Inner Mongolia
705,2022.942737,Tianjin,Jiangsu
540,2022.942867,Shandong,Guangxi
1336,2022.943087,Shanghai,Hubei
1818,2022.943497,Hubei,Gansu
162,2022.944627,Guangxi,Liaoning
831,2022.945117,Zhejiang,Heilongjiang
464,2022.945467,Zhejiang,Anhui
120,2022.946057,Sichuan,Hebei
1199,2022.946207,Jiangsu,Guangdong
71,2022.946427,Anhui,Shanxi
222,2022.947947,Tianjin,Inner Mongolia
1919,2022.948537,Shanghai,Hong Kong
600,2022.948967,Yunnan,Fujian
771,2022.949327,Jiangsu,Shandong
295,2022.950667,Inner Mongolia,Hong Kong
17,2022.950677,Taiwan,Shanghai
277,2022.950677,Shanghai,Guangxi
549,2022.950677,Anhui,Shandong
939,2022.950687,Hong Kong,Shanghai
951,2022.950687,Hong Kong,Shanghai
749,2022.951747,Shanxi,Tianjin
869,2022.951787,Jiangsu,Guizhou
695,2022.954417,Beijing,Inner Mongolia
970,2022.954447,Guangxi,Shanghai
292,2022.956147,Inner Mongolia,Hebei
408,2022.956147,Zhejiang,Guangdong
409,2022.956147,Guangdong,Hebei
435,2022.956147,Zhejiang,Guangxi
734,2022.956147,Shanghai,Guangdong
233,2022.956157,Tianjin,Hebei
258,2022.956157,Liaoning,Hebei
1212,2022.957337,Jiangsu,Shanxi
337,2022.958857,Jiangxi,Guizhou
18,2022.958897,Taiwan,Shanghai
269,2022.958897,Xinjiang,Hebei
381,2022.958897,Anhui,Jiangxi
552,2022.959647,Jilin,Liaoning
345,2022.959847,Shanghai,Shaanxi
11,2022.959907,Beijing,Zhejiang
963,2022.961637,Yunnan,Shanghai
998,2022.961637,Taiwan,Hong Kong
675,2022.964077,Jilin,Heilongjiang
871,2022.964357,Jiangsu,Jiangxi
872,2022.964357,Jiangsu,Hainan
34,2022.964367,Hong Kong,Shanghai
823,2022.964367,Jiangsu,Anhui
334,2022.964377,Jiangxi,Zhejiang
625,2022.964377,Inner Mongolia,Liaoning
798,2022.964467,Jiangsu,Shanghai
283,2022.967107,Shanghai,Hubei
328,2022.967107,Beijing,Fujian
663,2022.967107,Hebei,Gansu
966,2022.967117,Taiwan,Shanghai
641,2022.967997,Shanghai,Fujian
452,2022.969017,Zhejiang,Anhui
554,2022.969127,Jilin,Fujian
839,2022.969997,Zhejiang,Hainan
851,2022.970007,Taiwan,Shandong
1687,2022.970167,Hubei,Xinjiang
425,2022.972437,Hubei,Guangdong
729,2022.972577,Shanghai,Hebei
873,2022.972577,Jiangsu,Guangxi
768,2022.972587,Zhejiang,Yunnan
787,2022.972587,Jiangsu,Guangdong
829,2022.972587,Zhejiang,Yunnan
229,2022.973437,Tianjin,Henan
372,2022.974527,Fujian,Shandong
195,2022.975077,Sichuan,Shanghai
497,2022.975317,Xinjiang,Shandong
159,2022.975327,Hainan,Jiangsu
978,2022.975347,Yunnan,Jilin
594,2022.976247,Yunnan,Fujian
214,2022.976917,Guangdong,Shaanxi
783,2022.978027,Shaanxi,Yunnan
874,2022.978047,Jiangsu,Guizhou
378,2022.978067,Anhui,Shandong
718,2022.978067,Hunan,Guizhou
760,2022.978067,Jiangsu,Guizhou
192,2022.978077,Sichuan,Guangdong
220,2022.978077,Tianjin,Guangdong
261,2022.978077,Liaoning,Shanxi
640,2022.978077,Shanghai,Henan
910,2022.978987,Jiangsu,Guangxi
1584,2022.979367,Shanghai,Taiwan
244,2022.979457,Tianjin,Inner Mongolia
560,2022.979707,Jilin,Liaoning
723,2022.980797,Anhui,Chongqing
724,2022.980797,Anhui,Guizhou
5,2022.980807,Beijing,Zhejiang
472,2022.980807,Guangxi,Shandong
576,2022.980807,Sichuan,Zhejiang
728,2022.980807,Shanghai,Shanxi
29,2022.980817,Shanghai,Tianjin
882,2022.981237,Jiangsu,Guangxi
132,2022.983547,Sichuan,Xinjiang
322,2022.983547,Beijing,Xinjiang
339,2022.983547,Shanghai,Ningxia
384,2022.983547,Anhui,Fujian
627,2022.983547,Inner Mongolia,Ningxia
643,2022.983547,Chongqing,Ningxia
911,2022.983547,Guangxi,Hunan
204,2022.983557,Ningxia,Shaanxi
206,2022.983887,Ningxia,Gansu
887,2022.984617,Jiangsu,Hainan
1152,2022.985287,Shanghai,Yunnan
190,2022.986287,Sichuan,Hainan
419,2022.986287,Anhui,Fujian
538,2022.986287,Hebei,Ningxia
282,2022.986297,Shanghai,Sichuan
979,2022.986297,Yunnan,Shandong
959,2022.986307,Guangdong,Hong Kong
524,2022.989027,Zhejiang,Guangxi
803,2022.989027,Jiangsu,Hubei
580,2022.989037,Sichuan,Yunnan
721,2022.990517,Hunan,Zhejiang
475,2022.990957,Hebei,Fujian
674,2022.991757,Jilin,Guangxi
589,2022.991767,Sichuan,Chongqing
