,EventTime,Origin,Destination
161,2023.310107,Hubei,Qinghai
162,2023.312317,Tianjin,Fujian
163,2023.312327,Sichuan,Jiangxi
164,2023.312327,Sichuan,Beijing
165,2023.312347,Guangdong,Henan
166,2023.313187,Jiangsu,Guangdong
167,2023.313267,Shanghai,Beijing
168,2023.313497,Hubei,Sichuan
169,2023.313557,Hubei,Jiangsu
170,2023.314647,Hubei,Yunnan
171,2023.315057,Sichuan,Henan
172,2023.315067,Sichuan,Shanghai
173,2023.315067,Zhejiang,Anhui
174,2023.315067,Shanghai,Guangdong
175,2023.315067,Sichuan,Heilongjiang
176,2023.315067,Zhejiang,Guangdong
177,2023.315077,Anhui,Guangdong
178,2023.315077,Taiwan,Jiangsu
179,2023.315077,Guangdong,Jiangsu
180,2023.315547,Anhui,Sichuan
181,2023.315887,Hubei,Guangdong
182,2023.315987,Henan,Beijing
183,2023.317787,Hainan,Henan
184,2023.317797,Shanghai,Guangdong
185,2023.317797,Shanghai,Henan
186,2023.317797,Yunnan,Guangdong
187,2023.317817,Jiangsu,Beijing
188,2023.317817,Sichuan,Henan
189,2023.317817,Shanghai,Hubei
190,2023.317827,Guangdong,Hong Kong
191,2023.317827,Hubei,Henan
192,2023.318337,Shanghai,Hubei
193,2023.320537,Inner Mongolia,Gansu
194,2023.320547,Tianjin,Gansu
195,2023.320547,Inner Mongolia,Gansu
196,2023.320547,Jilin,Guangdong
197,2023.320547,Yunnan,Shanghai
198,2023.320547,Fujian,Liaoning
199,2023.320547,Shanghai,Hubei
200,2023.320547,Hubei,Anhui
201,2023.320557,Jiangsu,Hubei
202,2023.320557,Anhui,Liaoning
203,2023.320557,Shanghai,Guangdong
204,2023.320567,Shanghai,Hong Kong
205,2023.322657,Jiangxi,Fujian
206,2023.322847,Jiangsu,Yunnan
207,2023.323267,Shandong,Sichuan
208,2023.323267,Guangxi,Guangdong
209,2023.323267,Tianjin,Liaoning
210,2023.323277,Shanghai,Hubei
211,2023.323277,Hubei,Sichuan
212,2023.323287,Liaoning,Shanxi
213,2023.323287,Guangdong,Shanghai
214,2023.323287,Shanghai,Jiangsu
215,2023.323287,Yunnan,Beijing
216,2023.323287,Shanghai,Jiangsu
217,2023.323287,Hubei,Guangdong
218,2023.323287,Hubei,Anhui
219,2023.323287,Hubei,Guangdong
220,2023.323287,Shanghai,Guangdong
221,2023.323287,Hubei,Sichuan
222,2023.323287,Hubei,Shanghai
223,2023.323297,Jiangsu,Guangdong
224,2023.323837,Jiangsu,Shanghai
225,2023.324297,Sichuan,Hubei
226,2023.324727,Hubei,Henan
227,2023.325997,Henan,Xinjiang
228,2023.326007,Heilongjiang,Yunnan
229,2023.326017,Sichuan,Fujian
230,2023.326017,Beijing,Fujian
231,2023.326017,Shanxi,Beijing
232,2023.326017,Jilin,Xinjiang
233,2023.326017,Jiangsu,Beijing
234,2023.326027,Fujian,Hubei
235,2023.326027,Hubei,Jiangsu
236,2023.326027,Hubei,Fujian
237,2023.326027,Hubei,Guangdong
238,2023.326027,Shanghai,Guangdong
239,2023.326027,Hubei,Guangdong
240,2023.326037,Shanghai,Hong Kong
241,2023.326047,Guangdong,Hong Kong
242,2023.326047,Hubei,Xinjiang
243,2023.327467,Beijing,Shanghai
244,2023.328387,Hubei,Zhejiang
245,2023.328757,Jiangsu,Beijing
246,2023.328757,Qinghai,Shanxi
247,2023.328767,Yunnan,Hubei
248,2023.328767,Shanghai,Hong Kong
249,2023.328767,Hubei,Zhejiang
250,2023.328767,Hubei,Zhejiang
251,2023.328777,Anhui,Jiangxi
