,EventTime,Origin,Destination
1,2022.193397,Hong Kong,Shanghai
2,2022.378607,Hong Kong,Taiwan
3,2022.431357,Hong Kong,Guangxi
4,2022.466957,Hong Kong,Yunnan
5,2022.471557,Hong Kong,Taiwan
6,2022.497137,Hong Kong,Jiangsu
7,2022.523297,Taiwan,Shanghai
8,2022.526657,Hong Kong,Taiwan
9,2022.532407,Yunnan,Taiwan
10,2022.537707,Guangxi,Taiwan
11,2022.547237,Hong Kong,Taiwan
12,2022.550587,Hong Kong,Henan
13,2022.553997,Shanghai,Jiangsu
14,2022.562617,Guangxi,Yunnan
15,2022.563447,Hong Kong,Taiwan
16,2022.570627,Hong Kong,Anhui
17,2022.607477,Hong Kong,Xinjiang
18,2022.629107,Jiangsu,Yunnan
19,2022.632397,Jiangsu,Anhui
20,2022.632987,Yunnan,Guangdong
21,2022.645437,Henan,Hebei
22,2022.646007,Guangxi,Taiwan
23,2022.649307,Taiwan,Yunnan
24,2022.664567,Anhui,Sichuan
25,2022.669147,Yunnan,Jilin
26,2022.672717,Jiangsu,Zhejiang
27,2022.679547,Hong Kong,Shandong
28,2022.694907,Hong Kong,Shanghai
29,2022.696787,Anhui,Chongqing
30,2022.697967,Shanghai,Hong Kong
31,2022.698767,Anhui,Shandong
32,2022.700957,Yunnan,Inner Mongolia
33,2022.702507,Shanghai,Hong Kong
34,2022.707177,Shanghai,Hubei
35,2022.713737,Zhejiang,Guangdong
36,2022.719787,Sichuan,Guangxi
37,2022.732527,Sichuan,Anhui
38,2022.734887,Hong Kong,Taiwan
39,2022.735197,Anhui,Jiangxi
40,2022.743527,Sichuan,Shaanxi
41,2022.745087,Guangdong,Jilin
42,2022.745167,Sichuan,Tianjin
43,2022.751037,Jiangsu,Shanghai
44,2022.752997,Anhui,Hebei
45,2022.753207,Sichuan,Shanghai
46,2022.753347,Anhui,Jilin
47,2022.760537,Anhui,Heilongjiang
48,2022.766427,Shanghai,Yunnan
49,2022.771227,Anhui,Jilin
50,2022.774467,Sichuan,Fujian
51,2022.775117,Anhui,Zhejiang
52,2022.778537,Sichuan,Shaanxi
53,2022.781707,Jiangsu,Taiwan
54,2022.784567,Anhui,Beijing
55,2022.786737,Taiwan,Shanghai
56,2022.786837,Hong Kong,Shanghai
57,2022.787417,Hebei,Hunan
58,2022.792737,Hong Kong,Hebei
59,2022.799177,Heilongjiang,Shaanxi
60,2022.802787,Shaanxi,Taiwan
61,2022.806207,Guangxi,Hainan
62,2022.806917,Anhui,Shanghai
63,2022.807237,Yunnan,Sichuan
64,2022.811707,Henan,Qinghai
65,2022.812967,Hong Kong,Guangdong
66,2022.813737,Guangxi,Yunnan
67,2022.825237,Hebei,Tianjin
68,2022.825327,Henan,Shanghai
69,2022.826017,Hebei,Shandong
70,2022.826847,Heilongjiang,Hunan
71,2022.827227,Shanghai,Fujian
72,2022.827917,Yunnan,Taiwan
73,2022.828367,Jiangsu,Liaoning
74,2022.829667,Jiangsu,Shaanxi
75,2022.835357,Hunan,Hebei
76,2022.836837,Shaanxi,Hong Kong
77,2022.836867,Heilongjiang,Tianjin
78,2022.838287,Jiangsu,Zhejiang
79,2022.838507,Sichuan,Hubei
80,2022.839307,Tianjin,Liaoning
81,2022.840177,Jiangxi,Guangdong
82,2022.842677,Shanghai,Beijing
83,2022.842927,Shanghai,Zhejiang
84,2022.844257,Hunan,Zhejiang
85,2022.845117,Shanghai,Inner Mongolia
86,2022.845317,Sichuan,Ningxia
87,2022.848377,Anhui,Hubei
88,2022.848557,Shanghai,Beijing
89,2022.848797,Shanghai,Liaoning
90,2022.850987,Shaanxi,Ningxia
91,2022.852187,Guangxi,Hong Kong
92,2022.852597,Shanghai,Hong Kong
93,2022.852927,Shanghai,Shanxi
94,2022.855087,Shandong,Anhui
95,2022.855297,Shanghai,Jiangxi
96,2022.855587,Zhejiang,Shanghai
97,2022.855897,Henan,Shanghai
98,2022.858467,Tianjin,Jilin
99,2022.865987,Taiwan,Shanghai
100,2022.871937,Anhui,Guizhou
101,2022.871947,Anhui,Fujian
102,2022.872007,Guangdong,Taiwan
103,2022.873977,Anhui,Jiangsu
104,2022.874207,Anhui,Shanghai
105,2022.874257,Hebei,Beijing
106,2022.877827,Hebei,Jilin
107,2022.881267,Inner Mongolia,Shaanxi
108,2022.881937,Yunnan,Guizhou
109,2022.888397,Inner Mongolia,Jilin
110,2022.888537,Jiangsu,Jiangxi
111,2022.888757,Jiangsu,Xinjiang
112,2022.889347,Henan,Hubei
113,2022.890257,Shaanxi,Hainan
114,2022.891867,Jiangxi,Jiangsu
115,2022.892277,Hubei,Heilongjiang
116,2022.892817,Henan,Anhui
117,2022.895097,Taiwan,Yunnan
118,2022.895987,Zhejiang,Guangxi
119,2022.896137,Jiangsu,Fujian
120,2022.897577,Chongqing,Shanghai
121,2022.898187,Shaanxi,Guangdong
122,2022.898707,Hebei,Shandong
123,2022.899387,Jiangsu,Zhejiang
124,2022.901457,Jiangsu,Heilongjiang
125,2022.901467,Shanghai,Hainan
126,2022.902237,Inner Mongolia,Qinghai
127,2022.903937,Beijing,Zhejiang
128,2022.904507,Sichuan,Fujian
129,2022.905637,Shanghai,Beijing
130,2022.907557,Hong Kong,Yunnan
131,2022.907977,Xinjiang,Henan
132,2022.908187,Zhejiang,Tianjin
133,2022.909057,Hubei,Shanghai
134,2022.909507,Taiwan,Hong Kong
135,2022.912807,Anhui,Guangdong
136,2022.913057,Sichuan,Inner Mongolia
137,2022.913057,Guangxi,Hebei
138,2022.913737,Hubei,Yunnan
139,2022.915357,Sichuan,Xinjiang
140,2022.915367,Shanghai,Jilin
141,2022.916427,Hebei,Gansu
142,2022.916577,Hubei,Taiwan
143,2022.916887,Jiangsu,Shandong
144,2022.917737,Hubei,Sichuan
145,2022.918407,Henan,Xinjiang
146,2022.918967,Shanghai,Yunnan
147,2022.919747,Shanghai,Anhui
148,2022.922247,Zhejiang,Taiwan
149,2022.922827,Anhui,Shanghai
150,2022.923177,Shanghai,Taiwan
151,2022.923257,Jiangsu,Shanghai
152,2022.923267,Sichuan,Shanghai
153,2022.923267,Hong Kong,Taiwan
154,2022.923267,Henan,Shanghai
155,2022.923267,Anhui,Ningxia
156,2022.923277,Sichuan,Anhui
157,2022.923277,Tianjin,Shaanxi
158,2022.923277,Anhui,Shanghai
159,2022.923277,Shanghai,Anhui
160,2022.923277,Shanghai,Anhui
161,2022.923277,Shanghai,Anhui
162,2022.923277,Anhui,Shanghai
163,2022.923277,Anhui,Shanghai
164,2022.923277,Qinghai,Inner Mongolia
165,2022.923277,Anhui,Shanghai
166,2022.924377,Jiangsu,Inner Mongolia
167,2022.925347,Liaoning,Xinjiang
168,2022.925377,Beijing,Fujian
169,2022.925757,Jiangsu,Jiangxi
170,2022.925767,Shanghai,Jilin
171,2022.926017,Anhui,Shanghai
172,2022.926017,Hebei,Inner Mongolia
173,2022.926017,Zhejiang,Shanghai
174,2022.926017,Hong Kong,Yunnan
175,2022.927167,Shanghai,Hubei
176,2022.927467,Liaoning,Guangxi
177,2022.928237,Zhejiang,Anhui
178,2022.928747,Henan,Hubei
179,2022.928747,Shanghai,Inner Mongolia
180,2022.928757,Shandong,Fujian
181,2022.928757,Anhui,Inner Mongolia
182,2022.928757,Taiwan,Guangxi
183,2022.928767,Hong Kong,Yunnan
184,2022.928917,Liaoning,Guangxi
185,2022.931487,Hubei,Zhejiang
186,2022.933547,Tianjin,Hunan
187,2022.933557,Shanghai,Hainan
188,2022.934237,Sichuan,Xinjiang
189,2022.934237,Anhui,Zhejiang
190,2022.934237,Anhui,Fujian
191,2022.935147,Jiangsu,Fujian
192,2022.935447,Zhejiang,Shanghai
193,2022.935937,Hong Kong,Shanghai
194,2022.936207,Sichuan,Shandong
195,2022.936767,Hebei,Guangdong
196,2022.936967,Shanghai,Beijing
197,2022.936967,Jilin,Ningxia
198,2022.936977,Sichuan,Shanghai
199,2022.936977,Anhui,Zhejiang
200,2022.937567,Ningxia,Tianjin
201,2022.938967,Shanghai,Anhui
202,2022.939707,Hainan,Guizhou
203,2022.939937,Shanghai,Hebei
204,2022.940107,Tianjin,Guangdong
205,2022.940167,Liaoning,Ningxia
206,2022.940807,Jiangsu,Zhejiang
207,2022.941337,Henan,Gansu
208,2022.942457,Sichuan,Jilin
209,2022.942707,Jiangsu,Inner Mongolia
210,2022.942737,Tianjin,Jiangsu
211,2022.942867,Shandong,Guangxi
212,2022.943087,Shanghai,Hubei
213,2022.943497,Hubei,Gansu
214,2022.944627,Guangxi,Liaoning
215,2022.945117,Zhejiang,Heilongjiang
216,2022.945467,Zhejiang,Anhui
217,2022.946057,Sichuan,Hebei
218,2022.946207,Jiangsu,Guangdong
219,2022.946427,Anhui,Shanxi
220,2022.947947,Tianjin,Inner Mongolia
221,2022.948537,Shanghai,Hong Kong
222,2022.948967,Yunnan,Fujian
223,2022.949327,Jiangsu,Shandong
224,2022.950667,Inner Mongolia,Hong Kong
225,2022.950677,Taiwan,Shanghai
226,2022.950677,Shanghai,Guangxi
227,2022.950677,Anhui,Shandong
228,2022.950687,Hong Kong,Shanghai
229,2022.950687,Hong Kong,Shanghai
230,2022.951747,Shanxi,Tianjin
231,2022.951787,Jiangsu,Guizhou
232,2022.954417,Beijing,Inner Mongolia
233,2022.954447,Guangxi,Shanghai
234,2022.956147,Inner Mongolia,Hebei
235,2022.956147,Zhejiang,Guangdong
236,2022.956147,Guangdong,Hebei
237,2022.956147,Zhejiang,Guangxi
238,2022.956147,Shanghai,Guangdong
239,2022.956157,Tianjin,Hebei
240,2022.956157,Liaoning,Hebei
241,2022.957337,Jiangsu,Shanxi
242,2022.958857,Jiangxi,Guizhou
243,2022.958897,Taiwan,Shanghai
244,2022.958897,Xinjiang,Hebei
245,2022.958897,Anhui,Jiangxi
246,2022.959647,Jilin,Liaoning
247,2022.959847,Shanghai,Shaanxi
248,2022.959907,Beijing,Zhejiang
249,2022.961637,Yunnan,Shanghai
250,2022.961637,Taiwan,Hong Kong
251,2022.964077,Jilin,Heilongjiang
252,2022.964357,Jiangsu,Jiangxi
253,2022.964357,Jiangsu,Hainan
254,2022.964367,Hong Kong,Shanghai
255,2022.964367,Jiangsu,Anhui
256,2022.964377,Jiangxi,Zhejiang
257,2022.964377,Inner Mongolia,Liaoning
258,2022.964467,Jiangsu,Shanghai
259,2022.967107,Shanghai,Hubei
260,2022.967107,Beijing,Fujian
261,2022.967107,Hebei,Gansu
262,2022.967117,Taiwan,Shanghai
263,2022.967997,Shanghai,Fujian
